iteration;exec time (1 thread);exec time (16 threads);exec time (16 threads linear);speedup;speedup (linear);efficiency;efficiency (linear);difference (1 thread);difference(16 threads)
0;0.307945;0.081579;0.019247;3.774828;16.000000;0.235927;1.000000;80000512.000000;80000512.000000
1;0.570412;0.145502;0.035651;3.920300;16.000000;0.245019;1.000000;79599808.000000;79599808.000000
2;0.821893;0.202908;0.051368;4.050559;16.000000;0.253160;1.000000;79202272.000000;79202272.000000
3;1.047630;0.259377;0.065477;4.039028;16.000000;0.252439;1.000000;78806864.000000;78806872.000000
4;1.290679;0.317183;0.080667;4.069191;16.000000;0.254324;1.000000;78413592.000000;78413608.000000
5;1.548550;0.372913;0.096784;4.152578;16.000000;0.259536;1.000000;78022456.000000;78022456.000000
6;1.787415;0.433222;0.111713;4.125864;16.000000;0.257867;1.000000;77633408.000000;77633424.000000
7;2.011527;0.490610;0.125720;4.100053;16.000000;0.256253;1.000000;77246520.000000;77246520.000000
8;2.252086;0.550820;0.140755;4.088609;16.000000;0.255538;1.000000;76861696.000000;76861696.000000
9;2.522568;0.609499;0.157661;4.138754;16.000000;0.258672;1.000000;76480008.000000;76480000.000000
10;2.761758;0.668981;0.172610;4.128304;16.000000;0.258019;1.000000;76099416.000000;76099392.000000
11;2.998962;0.727293;0.187435;4.123456;16.000000;0.257716;1.000000;75720856.000000;75720840.000000
12;3.265147;0.781588;0.204072;4.177580;16.000000;0.261099;1.000000;75344384.000000;75345408.000000
13;3.582788;0.845005;0.223924;4.239961;16.000000;0.264998;1.000000;74971024.000000;74971024.000000
14;3.834649;0.909583;0.239666;4.215833;16.000000;0.263490;1.000000;74598704.000000;74598680.000000
15;4.069658;0.970259;0.254354;4.194403;16.000000;0.262150;1.000000;74229432.000000;74229440.000000
16;4.308418;1.027944;0.269276;4.191296;16.000000;0.261956;1.000000;73861256.000000;73861248.000000
17;4.596216;1.084967;0.287263;4.236272;16.000000;0.264767;1.000000;73496104.000000;73496104.000000
18;4.826991;1.140673;0.301687;4.231703;16.000000;0.264481;1.000000;73132016.000000;73132000.000000
19;5.064822;1.197545;0.316551;4.229336;16.000000;0.264333;1.000000;72769872.000000;72769872.000000
20;5.294309;1.255075;0.330894;4.218321;16.000000;0.263645;1.000000;72410848.000000;72410856.000000
21;5.569727;1.312085;0.348108;4.244945;16.000000;0.265309;1.000000;72052824.000000;72052832.000000
22;5.799125;1.370363;0.362445;4.231817;16.000000;0.264489;1.000000;71696832.000000;71696808.000000
23;6.067120;1.430363;0.379195;4.241664;16.000000;0.265104;1.000000;71343840.000000;71343800.000000
24;6.335524;1.496910;0.395970;4.232401;16.000000;0.264525;1.000000;70991832.000000;70991840.000000
25;6.594689;1.557982;0.412168;4.232841;16.000000;0.264553;1.000000;70641784.000000;141283616.000000
26;6.816740;1.667863;0.426046;4.087111;16.000000;0.255444;1.000000;70293816.000000;70293824.000000
27;7.048471;1.726403;0.440529;4.082750;16.000000;0.255172;1.000000;69947744.000000;69947768.000000
28;7.296850;1.783522;0.456053;4.091259;16.000000;0.255704;1.000000;69603704.000000;69603720.000000
29;7.530488;1.843506;0.470655;4.084874;16.000000;0.255305;1.000000;69261664.000000;69261688.000000
30;7.778227;1.902787;0.486139;4.087808;16.000000;0.255488;1.000000;68921536.000000;137843104.000000
31;8.004420;1.961939;0.500276;4.079852;16.000000;0.254991;1.000000;68583464.000000;68583488.000000
32;8.275855;2.071672;0.517241;3.994772;16.000000;0.249673;1.000000;68247224.000000;68247264.000000
33;8.509422;2.181429;0.531839;3.900847;16.000000;0.243803;1.000000;67912024.000000;67912056.000000
34;8.752755;2.291250;0.547047;3.820078;16.000000;0.238755;1.000000;67579752.000000;67579744.000000
35;8.973734;2.348847;0.560858;3.820485;16.000000;0.238780;1.000000;67248464.000000;67248320.000000
36;9.273489;2.407085;0.579593;3.852581;16.000000;0.240786;1.000000;66920004.000000;66919984.000000
37;9.503649;2.465645;0.593978;3.854427;16.000000;0.240902;1.000000;66592480.000000;133184888.000000
38;9.727529;2.524612;0.607971;3.853079;16.000000;0.240817;1.000000;66266984.000000;66266976.000000
39;9.971814;2.585989;0.623238;3.856093;16.000000;0.241006;1.000000;65943332.000000;65942820.000000
40;10.227199;2.694596;0.639200;3.795448;16.000000;0.237215;1.000000;65621032.000000;65621016.000000
41;10.448690;2.804019;0.653043;3.726326;16.000000;0.232895;1.000000;65300664.000000;65300664.000000
42;10.697126;2.863269;0.668570;3.735984;16.000000;0.233499;1.000000;64982812.000000;64982808.000000
43;10.952656;2.929991;0.684541;3.738120;16.000000;0.233632;1.000000;64665784.000000;64665772.000000
44;11.198013;2.990293;0.699876;3.744788;16.000000;0.234049;1.000000;64351120.000000;64351120.000000
45;11.438634;3.046528;0.714915;3.754645;16.000000;0.234665;1.000000;64037956.000000;64037944.000000
46;11.702632;3.105598;0.731414;3.768238;16.000000;0.235515;1.000000;63726540.000000;63726520.000000
47;11.970423;3.215741;0.748151;3.722446;16.000000;0.232653;1.000000;63416480.000000;63416468.000000
48;12.214407;3.330817;0.763400;3.667090;16.000000;0.229193;1.000000;63108936.000000;63108936.000000
49;12.505307;3.440906;0.781582;3.634307;16.000000;0.227144;1.000000;62802132.000000;125604296.000000
50;12.814235;3.504981;0.800890;3.656007;16.000000;0.228500;1.000000;62497788.000000;62497784.000000
51;13.073532;3.565565;0.817096;3.666609;16.000000;0.229163;1.000000;62194664.000000;62194676.000000
52;13.327122;3.628280;0.832945;3.673124;16.000000;0.229570;1.000000;61893484.000000;61893488.000000
53;13.556631;3.686077;0.847289;3.677794;16.000000;0.229862;1.000000;61593592.000000;61593580.000000
54;13.828330;3.743115;0.864271;3.694337;16.000000;0.230896;1.000000;61295588.000000;61295592.000000
55;14.052734;3.854983;0.878296;3.645342;16.000000;0.227834;1.000000;60999404.000000;60999416.000000
56;14.273083;3.963533;0.892068;3.601101;16.000000;0.225069;1.000000;60704536.000000;121409064.000000
57;14.503415;4.072860;0.906463;3.560991;16.000000;0.222562;1.000000;60411084.000000;60411080.000000
58;14.778381;4.181844;0.923649;3.533939;16.000000;0.220871;1.000000;60119844.000000;60119848.000000
59;15.059215;4.293995;0.941201;3.507041;16.000000;0.219190;1.000000;59829404.000000;59829408.000000
60;15.307847;4.407269;0.956740;3.473318;16.000000;0.217082;1.000000;59541320.000000;59541316.000000
61;15.626543;4.517054;0.976659;3.459454;16.000000;0.216216;1.000000;59254552.000000;59254560.000000
62;15.871827;4.633593;0.991989;3.425382;16.000000;0.214086;1.000000;58969140.000000;58969136.000000
63;16.104744;4.741820;1.006546;3.396321;16.000000;0.212270;1.000000;58685436.000000;58685432.000000
64;16.360178;4.851165;1.022511;3.372422;16.000000;0.210776;1.000000;58402960.000000;58402956.000000
65;16.648341;4.961656;1.040521;3.355400;16.000000;0.209713;1.000000;58122328.000000;58122328.000000
66;16.870627;5.071595;1.054414;3.326493;16.000000;0.207906;1.000000;57843584.000000;57843596.000000
67;17.089707;5.181584;1.068107;3.298163;16.000000;0.206135;1.000000;57565916.000000;57565948.000000
68;17.346927;5.288621;1.084183;3.280048;16.000000;0.205003;1.000000;57289676.000000;57289672.000000
69;17.577979;5.398315;1.098624;3.256198;16.000000;0.203512;1.000000;57015156.000000;57015164.000000
70;17.815448;5.507836;1.113465;3.234564;16.000000;0.202160;1.000000;56741932.000000;56741912.000000
71;18.041988;5.562738;1.127624;3.243364;16.000000;0.202710;1.000000;56470432.000000;56470424.000000
72;18.322363;5.621615;1.145148;3.259270;16.000000;0.203704;1.000000;56200316.000000;56200320.000000
73;18.570345;5.682061;1.160647;3.268241;16.000000;0.204265;1.000000;55931628.000000;55931624.000000
74;18.798821;5.742332;1.174926;3.273726;16.000000;0.204608;1.000000;55664576.000000;55664576.000000
75;19.026554;5.801233;1.189160;3.279743;16.000000;0.204984;1.000000;55398428.000000;55398440.000000
76;19.302929;5.892866;1.206433;3.275644;16.000000;0.204728;1.000000;55134208.000000;55134212.000000
