iteration;exec time (1 thread);exec time (16 threads);exec time (16 threads linear);speedup;speedup (linear);efficiency;efficiency (linear);difference (1 thread);difference(16 threads)
0;0.051549;0.013739;0.003222;3.752104;16.000000;0.234506;1.000000;80000512.000000;80000512.000000
1;0.094143;0.025937;0.005884;3.629654;16.000000;0.226853;1.000000;79599808.000000;79599808.000000
2;0.138930;0.036040;0.008683;3.854938;16.000000;0.240934;1.000000;79202288.000000;79202280.000000
3;0.183034;0.047126;0.011440;3.883933;16.000000;0.242746;1.000000;78806864.000000;78806872.000000
4;0.228598;0.057688;0.014287;3.962669;16.000000;0.247667;1.000000;78413592.000000;78413608.000000
5;0.273843;0.068115;0.017115;4.020282;16.000000;0.251268;1.000000;78022456.000000;78022448.000000
6;0.318324;0.079509;0.019895;4.003633;16.000000;0.250227;1.000000;77633408.000000;77633424.000000
7;0.364171;0.090608;0.022761;4.019183;16.000000;0.251199;1.000000;77246520.000000;77246520.000000
8;0.410392;0.101453;0.025649;4.045144;16.000000;0.252821;1.000000;76861696.000000;76861696.000000
9;0.455118;0.113021;0.028445;4.026862;16.000000;0.251679;1.000000;76480008.000000;76480016.000000
10;0.500531;0.125494;0.031283;3.988482;16.000000;0.249280;1.000000;76099416.000000;76099392.000000
11;0.545734;0.137298;0.034108;3.974808;16.000000;0.248425;1.000000;75720856.000000;75720840.000000
12;0.591508;0.148627;0.036969;3.979810;16.000000;0.248738;1.000000;75344384.000000;75344384.000000
13;0.637281;0.160000;0.039830;3.983018;16.000000;0.248939;1.000000;74971024.000000;74971024.000000
14;0.681283;0.171984;0.042580;3.961317;16.000000;0.247582;1.000000;74598704.000000;74598696.000000
15;0.729568;0.182448;0.045598;3.998775;16.000000;0.249923;1.000000;74229432.000000;74229448.000000
16;0.777898;0.193683;0.048619;4.016339;16.000000;0.251021;1.000000;73861256.000000;73861240.000000
17;0.824992;0.205831;0.051562;4.008105;16.000000;0.250507;1.000000;73496104.000000;73496104.000000
18;0.872395;0.219206;0.054525;3.979791;16.000000;0.248737;1.000000;73132016.000000;73131984.000000
19;0.919938;0.230060;0.057496;3.998681;16.000000;0.249918;1.000000;72769872.000000;72769880.000000
20;0.968053;0.241458;0.060503;4.009190;16.000000;0.250574;1.000000;72410848.000000;72410856.000000
21;1.015118;0.252080;0.063445;4.026975;16.000000;0.251686;1.000000;72052824.000000;72052824.000000
22;1.061906;0.264808;0.066369;4.010096;16.000000;0.250631;1.000000;71696832.000000;71696816.000000
23;1.108153;0.276502;0.069260;4.007762;16.000000;0.250485;1.000000;71343840.000000;71343848.000000
24;1.153620;0.288431;0.072101;3.999635;16.000000;0.249977;1.000000;70991832.000000;70991840.000000
25;1.199366;0.299426;0.074960;4.005544;16.000000;0.250347;1.000000;70641784.000000;70641808.000000
26;1.245805;0.312970;0.077863;3.980593;16.000000;0.248787;1.000000;70293816.000000;70293824.000000
27;1.285689;0.324750;0.080356;3.959018;16.000000;0.247439;1.000000;69947744.000000;69947776.000000
28;1.328285;0.334429;0.083018;3.971805;16.000000;0.248238;1.000000;69603704.000000;69603728.000000
29;1.371240;0.346811;0.085703;3.953850;16.000000;0.247116;1.000000;69261664.000000;69261680.000000
30;1.415477;0.357527;0.088467;3.959082;16.000000;0.247443;1.000000;68921536.000000;68921536.000000
31;1.458973;0.367669;0.091186;3.968174;16.000000;0.248011;1.000000;68583464.000000;68583472.000000
32;1.503183;0.378270;0.093949;3.973833;16.000000;0.248365;1.000000;68247224.000000;68247264.000000
33;1.544161;0.389268;0.096510;3.966827;16.000000;0.247927;1.000000;67912024.000000;67912064.000000
34;1.586734;0.402416;0.099171;3.943017;16.000000;0.246439;1.000000;67579752.000000;67579736.000000
35;1.633070;0.413066;0.102067;3.953533;16.000000;0.247096;1.000000;67248464.000000;67248448.000000
36;1.680189;0.426209;0.105012;3.942175;16.000000;0.246386;1.000000;66920004.000000;66919992.000000
37;1.728731;0.436897;0.108046;3.956840;16.000000;0.247303;1.000000;66592480.000000;66592472.000000
38;1.779747;0.449941;0.111234;3.955515;16.000000;0.247220;1.000000;66266984.000000;66266972.000000
39;1.827825;0.461911;0.114239;3.957090;16.000000;0.247318;1.000000;65943332.000000;65943328.000000
40;1.876319;0.473196;0.117270;3.965202;16.000000;0.247825;1.000000;65621032.000000;65621024.000000
41;1.923573;0.484970;0.120223;3.966375;16.000000;0.247898;1.000000;65300664.000000;65300664.000000
42;1.965851;0.497844;0.122866;3.948730;16.000000;0.246796;1.000000;64982812.000000;64982808.000000
43;2.008822;0.509921;0.125551;3.939474;16.000000;0.246217;1.000000;64665784.000000;64665768.000000
44;2.053546;0.521239;0.128347;3.939739;16.000000;0.246234;1.000000;64351120.000000;64351120.000000
45;2.099462;0.532739;0.131216;3.940885;16.000000;0.246305;1.000000;64037956.000000;64037944.000000
46;2.144825;0.544261;0.134052;3.940800;16.000000;0.246300;1.000000;63726540.000000;63726524.000000
47;2.189492;0.555207;0.136843;3.943559;16.000000;0.246472;1.000000;63416480.000000;63416468.000000
48;2.233471;0.565896;0.139592;3.946785;16.000000;0.246674;1.000000;63108936.000000;63108940.000000
49;2.277320;0.577000;0.142333;3.946827;16.000000;0.246677;1.000000;62802132.000000;62802152.000000
