iteration;exec time (1 thread);exec time (2 threads);exec time (2 threads linear);speedup;speedup (linear);efficiency;efficiency (linear);difference (1 thread);difference(2 threads)
0;1.093973;0.125413;0.546986;8.722995;2.000000;4.361498;1.000000;80000512.000000;80000512.000000
1;2.006682;0.233755;1.003341;8.584539;2.000000;4.292270;1.000000;79599808.000000;79599808.000000
2;2.943658;0.342259;1.471829;8.600686;2.000000;4.300343;1.000000;79202288.000000;79202288.000000
3;3.895268;0.453709;1.947634;8.585395;2.000000;4.292697;1.000000;78806864.000000;78806864.000000
4;4.844181;0.564985;2.422091;8.573996;2.000000;4.286998;1.000000;78413592.000000;78413600.000000
5;5.829455;0.676544;2.914727;8.616519;2.000000;4.308259;1.000000;78022456.000000;78022464.000000
6;6.783234;0.810127;3.391617;8.373049;2.000000;4.186524;1.000000;77633408.000000;77633416.000000
7;7.726554;0.921326;3.863277;8.386341;2.000000;4.193171;1.000000;77246520.000000;77246520.000000
8;8.668575;1.041484;4.334287;8.323287;2.000000;4.161644;1.000000;76861696.000000;76861696.000000
9;9.592554;1.173406;4.796277;8.174967;2.000000;4.087484;1.000000;76480008.000000;76480008.000000
10;10.596713;1.305896;5.298357;8.114515;2.000000;4.057258;1.000000;76099416.000000;76099400.000000
11;11.529398;1.438088;5.764699;8.017172;2.000000;4.008586;1.000000;75720856.000000;75720848.000000
12;12.459706;1.533236;6.229853;8.126413;2.000000;4.063206;1.000000;75344384.000000;75344376.000000
13;13.415136;1.641795;6.707568;8.171017;2.000000;4.085509;1.000000;74971024.000000;74971032.000000
14;14.409803;1.754443;7.204901;8.213321;2.000000;4.106660;1.000000;74598704.000000;74598696.000000
15;15.370812;1.864546;7.685406;8.243727;2.000000;4.121864;1.000000;74229432.000000;74229448.000000
16;16.289552;1.976872;8.144776;8.240066;2.000000;4.120033;1.000000;73861256.000000;73861248.000000
17;17.229046;2.083835;8.614523;8.267950;2.000000;4.133975;1.000000;73496104.000000;73496104.000000
18;18.257671;2.192715;9.128835;8.326514;2.000000;4.163257;1.000000;73132016.000000;73132000.000000
19;19.188526;2.301462;9.594263;8.337538;2.000000;4.168769;1.000000;72769872.000000;72769872.000000
20;20.122113;2.410311;10.061057;8.348346;2.000000;4.174173;1.000000;72410848.000000;72410856.000000
21;21.116392;2.519820;10.558196;8.380118;2.000000;4.190059;1.000000;72052824.000000;72052824.000000
22;22.021873;2.628692;11.010937;8.377503;2.000000;4.188751;1.000000;71696832.000000;71696816.000000
23;22.957165;2.738530;11.478582;8.383025;2.000000;4.191513;1.000000;71343840.000000;71343840.000000
24;23.879049;2.848300;11.939524;8.383613;2.000000;4.191807;1.000000;70991832.000000;70991840.000000
25;24.840014;2.980906;12.420007;8.333043;2.000000;4.166521;1.000000;70641784.000000;70641800.000000
26;25.768136;3.113812;12.884068;8.275430;2.000000;4.137715;1.000000;70293816.000000;70293816.000000
27;26.698267;3.245900;13.349133;8.225227;2.000000;4.112614;1.000000;69947744.000000;69947760.000000
28;27.635279;3.353954;13.817640;8.239613;2.000000;4.119806;1.000000;69603704.000000;69603712.000000
29;28.592183;3.464920;14.296091;8.251903;2.000000;4.125952;1.000000;69261664.000000;69261680.000000
30;29.538389;3.573927;14.769194;8.264968;2.000000;4.132484;1.000000;68921536.000000;68921536.000000
31;30.476057;3.683174;15.238028;8.274401;2.000000;4.137201;1.000000;68583464.000000;68583480.000000
32;31.442062;3.792374;15.721031;8.290866;2.000000;4.145433;1.000000;68247224.000000;68247256.000000
33;32.387522;3.924283;16.193761;8.253105;2.000000;4.126553;1.000000;67912024.000000;67912056.000000
34;33.358584;4.037001;16.679292;8.263209;2.000000;4.131604;1.000000;67579752.000000;67579736.000000
35;34.293290;4.145917;17.146645;8.271581;2.000000;4.135790;1.000000;67248464.000000;67248456.000000
36;35.266920;4.278015;17.633460;8.243759;2.000000;4.121879;1.000000;66920004.000000;66920000.000000
37;36.242707;4.388134;18.121354;8.259253;2.000000;4.129626;1.000000;66592480.000000;66592484.000000
38;37.260866;4.499494;18.630433;8.281123;2.000000;4.140561;1.000000;66266984.000000;66266976.000000
