iteration;exec time (1 thread);exec time (2 threads);exec time (2 threads linear);speedup;speedup (linear);efficiency;efficiency (linear);difference (1 thread);difference(2 threads)
0;0.038202;0.020320;0.019101;1.879987;2.000000;0.939993;1.000000;80000512.000000;80000512.000000
1;0.076492;0.038180;0.038246;2.003431;2.000000;1.001715;1.000000;79599808.000000;79599808.000000
2;0.115376;0.058243;0.057688;1.980928;2.000000;0.990464;1.000000;79202288.000000;79202296.000000
3;0.154158;0.078397;0.077079;1.966379;2.000000;0.983189;1.000000;78806864.000000;78806864.000000
4;0.196772;0.099252;0.098386;1.982540;2.000000;0.991270;1.000000;78413592.000000;78413600.000000
5;0.238812;0.120681;0.119406;1.978869;2.000000;0.989434;1.000000;78022456.000000;78022464.000000
6;0.281211;0.141273;0.140606;1.990551;2.000000;0.995276;1.000000;77633408.000000;77633424.000000
7;0.323428;0.162399;0.161714;1.991561;2.000000;0.995780;1.000000;77246520.000000;77246520.000000
8;0.365305;0.183762;0.182652;1.987922;2.000000;0.993961;1.000000;76861696.000000;76861704.000000
9;0.407081;0.205207;0.203541;1.983758;2.000000;0.991879;1.000000;76480008.000000;76480016.000000
10;0.450973;0.226385;0.225487;1.992066;2.000000;0.996033;1.000000;76099416.000000;76099384.000000
11;0.493132;0.247791;0.246566;1.990116;2.000000;0.995058;1.000000;75720856.000000;75720832.000000
12;0.534317;0.268714;0.267158;1.988423;2.000000;0.994211;1.000000;75344384.000000;75344376.000000
13;0.575416;0.289975;0.287708;1.984366;2.000000;0.992183;1.000000;74971024.000000;74971032.000000
14;0.616866;0.310263;0.308433;1.988204;2.000000;0.994102;1.000000;74598704.000000;74598688.000000
15;0.658037;0.330828;0.329019;1.989063;2.000000;0.994531;1.000000;74229432.000000;74229440.000000
16;0.698595;0.352311;0.349298;1.982891;2.000000;0.991445;1.000000;73861256.000000;73861232.000000
17;0.739220;0.373318;0.369610;1.980133;2.000000;0.990066;1.000000;73496104.000000;73496096.000000
18;0.780054;0.393883;0.390027;1.980419;2.000000;0.990209;1.000000;73132016.000000;73131992.000000
19;0.821625;0.415811;0.410812;1.975957;2.000000;0.987978;1.000000;72769872.000000;72769872.000000
20;0.863351;0.436697;0.431675;1.977004;2.000000;0.988502;1.000000;72410848.000000;72410856.000000
21;0.906771;0.457486;0.453386;1.982076;2.000000;0.991038;1.000000;72052824.000000;72052816.000000
22;1.006031;0.502852;0.503015;2.000649;2.000000;1.000325;1.000000;71696832.000000;71696808.000000
23;1.063321;0.537714;0.531660;1.977482;2.000000;0.988741;1.000000;71343840.000000;71343840.000000
24;1.112541;0.572545;0.556271;1.943152;2.000000;0.971576;1.000000;70991832.000000;70991840.000000
25;1.151188;0.596251;0.575594;1.930709;2.000000;0.965355;1.000000;70641784.000000;70641808.000000
26;1.189666;0.615091;0.594833;1.934130;2.000000;0.967065;1.000000;70293816.000000;70293816.000000
27;1.227254;0.634051;0.613627;1.935578;2.000000;0.967789;1.000000;69947744.000000;69947760.000000
28;1.265141;0.653618;0.632570;1.935596;2.000000;0.967798;1.000000;69603704.000000;69603712.000000
29;1.302650;0.672775;0.651325;1.936234;2.000000;0.968117;1.000000;69261664.000000;69261688.000000
30;1.343780;0.694337;0.671890;1.935343;2.000000;0.967671;1.000000;68921536.000000;68921536.000000
31;1.385078;0.716325;0.692539;1.933590;2.000000;0.966795;1.000000;68583464.000000;68583480.000000
32;1.427197;0.738920;0.713598;1.931463;2.000000;0.965731;1.000000;68247224.000000;68247256.000000
33;1.515957;0.763832;0.757979;1.984674;2.000000;0.992337;1.000000;67912024.000000;67912064.000000
34;1.568711;0.794405;0.784356;1.974699;2.000000;0.987350;1.000000;67579752.000000;67579752.000000
35;1.636978;0.835621;0.818489;1.958996;2.000000;0.979498;1.000000;67248464.000000;67248464.000000
36;1.683814;0.870078;0.841907;1.935243;2.000000;0.967622;1.000000;66920004.000000;66920004.000000
37;1.738059;0.896469;0.869029;1.938782;2.000000;0.969391;1.000000;66592480.000000;66592472.000000
38;1.788048;0.920339;0.894024;1.942816;2.000000;0.971408;1.000000;66266984.000000;66266984.000000
39;1.837683;0.944450;0.918841;1.945771;2.000000;0.972885;1.000000;65943332.000000;65943332.000000
40;1.885372;0.973906;0.942686;1.935887;2.000000;0.967944;1.000000;65621032.000000;65621028.000000
41;1.932801;1.002828;0.966401;1.927351;2.000000;0.963676;1.000000;65300664.000000;65300656.000000
42;2.003579;1.039659;1.001790;1.927150;2.000000;0.963575;1.000000;64982812.000000;64982812.000000
43;2.051462;1.069830;1.025731;1.917559;2.000000;0.958780;1.000000;64665784.000000;64665784.000000
44;2.097659;1.094081;1.048830;1.917279;2.000000;0.958640;1.000000;64351120.000000;64351120.000000
45;2.141973;1.119242;1.070987;1.913772;2.000000;0.956886;1.000000;64037956.000000;64037960.000000
46;2.186503;1.141783;1.093252;1.914990;2.000000;0.957495;1.000000;63726540.000000;63726544.000000
47;2.232490;1.164986;1.116245;1.916324;2.000000;0.958162;1.000000;63416480.000000;63416476.000000
48;2.275920;1.188608;1.137960;1.914777;2.000000;0.957389;1.000000;63108936.000000;63108936.000000
49;2.319469;1.211045;1.159735;1.915263;2.000000;0.957632;1.000000;62802132.000000;62802136.000000
50;2.362522;1.234563;1.181261;1.913651;2.000000;0.956825;1.000000;62497788.000000;62497792.000000
51;2.428959;1.257767;1.214479;1.931167;2.000000;0.965584;1.000000;62194664.000000;62194664.000000
52;2.479012;1.296504;1.239506;1.912074;2.000000;0.956037;1.000000;61893484.000000;61893488.000000
53;2.521107;1.319132;1.260553;1.911186;2.000000;0.955593;1.000000;61593592.000000;61593592.000000
54;2.565087;1.338727;1.282543;1.916064;2.000000;0.958032;1.000000;61295588.000000;61295588.000000
55;2.607812;1.360458;1.303906;1.916863;2.000000;0.958432;1.000000;60999404.000000;60999404.000000
56;2.649016;1.383032;1.324508;1.915368;2.000000;0.957684;1.000000;60704536.000000;60704536.000000
57;2.690612;1.403972;1.345306;1.916429;2.000000;0.958214;1.000000;60411084.000000;60411084.000000
58;2.731587;1.424707;1.365794;1.917297;2.000000;0.958649;1.000000;60119844.000000;60119840.000000
59;2.774477;1.446164;1.387238;1.918508;2.000000;0.959254;1.000000;59829404.000000;59829408.000000
60;2.824719;1.467830;1.412360;1.924419;2.000000;0.962210;1.000000;59541320.000000;59541320.000000
61;2.876475;1.502701;1.438237;1.914202;2.000000;0.957101;1.000000;59254552.000000;59254552.000000
62;2.919621;1.525010;1.459810;1.914493;2.000000;0.957247;1.000000;58969140.000000;58969140.000000
63;2.963277;1.546633;1.481638;1.915953;2.000000;0.957977;1.000000;58685436.000000;58685428.000000
64;3.005963;1.567910;1.502982;1.917179;2.000000;0.958590;1.000000;58402960.000000;58402960.000000
65;3.047976;1.588325;1.523988;1.918988;2.000000;0.959494;1.000000;58122328.000000;58122332.000000
66;3.090572;1.609498;1.545286;1.920208;2.000000;0.960104;1.000000;57843584.000000;57843580.000000
67;3.134402;1.631128;1.567201;1.921616;2.000000;0.960808;1.000000;57565916.000000;57565916.000000
68;3.177256;1.653239;1.588628;1.921837;2.000000;0.960919;1.000000;57289676.000000;57289676.000000
69;3.220105;1.674969;1.610053;1.922487;2.000000;0.961243;1.000000;57015156.000000;57015156.000000
70;3.262206;1.696364;1.631103;1.923058;2.000000;0.961529;1.000000;56741932.000000;56741932.000000
71;3.304050;1.717545;1.652025;1.923706;2.000000;0.961853;1.000000;56470432.000000;56470432.000000
72;3.346256;1.738759;1.673128;1.924508;2.000000;0.962254;1.000000;56200316.000000;56200316.000000
73;3.388175;1.760243;1.694087;1.924833;2.000000;0.962417;1.000000;55931628.000000;55931632.000000
74;3.430339;1.781575;1.715170;1.925453;2.000000;0.962726;1.000000;55664576.000000;55664576.000000
75;3.472512;1.802310;1.736256;1.926701;2.000000;0.963350;1.000000;55398428.000000;55398432.000000
76;3.516378;1.822730;1.758189;1.929183;2.000000;0.964591;1.000000;55134208.000000;55134208.000000
77;3.559190;1.843986;1.779595;1.930161;2.000000;0.965080;1.000000;54871160.000000;54871156.000000
78;3.601775;1.865757;1.800888;1.930463;2.000000;0.965232;1.000000;54609800.000000;54609796.000000
79;3.643455;1.886878;1.821727;1.930944;2.000000;0.965472;1.000000;54349816.000000;54349820.000000
80;3.685689;1.908034;1.842845;1.931668;2.000000;0.965834;1.000000;54091072.000000;54091072.000000
81;3.727815;1.929687;1.863907;1.931823;2.000000;0.965912;1.000000;53833708.000000;53833704.000000
82;3.770082;1.950986;1.885041;1.932398;2.000000;0.966199;1.000000;53577828.000000;53577828.000000
83;3.813473;1.973190;1.906736;1.932644;2.000000;0.966322;1.000000;53323652.000000;53323652.000000
84;3.855594;1.993929;1.927797;1.933667;2.000000;0.966833;1.000000;53070636.000000;53070640.000000
85;3.898373;2.014353;1.949186;1.935298;2.000000;0.967649;1.000000;52818860.000000;52818860.000000
86;3.941322;2.035219;1.970661;1.936559;2.000000;0.968280;1.000000;52568032.000000;52568032.000000
87;3.984976;2.056232;1.992488;1.937999;2.000000;0.969000;1.000000;52319184.000000;52319184.000000
88;4.027304;2.077052;2.013652;1.938952;2.000000;0.969476;1.000000;52071556.000000;52071552.000000
89;4.070149;2.099906;2.035075;1.938253;2.000000;0.969126;1.000000;51824856.000000;51824856.000000
90;4.121342;2.122534;2.060671;1.941708;2.000000;0.970854;1.000000;51579908.000000;51579912.000000
91;4.187943;2.177253;2.093972;1.923499;2.000000;0.961749;1.000000;51336232.000000;51336228.000000
92;4.233037;2.199516;2.116519;1.924532;2.000000;0.962266;1.000000;51093792.000000;51093792.000000
93;4.277077;2.222844;2.138538;1.924146;2.000000;0.962073;1.000000;50852836.000000;50852832.000000
94;4.320205;2.245389;2.160102;1.924034;2.000000;0.962017;1.000000;50613116.000000;50613116.000000
95;4.363558;2.268479;2.181779;1.923561;2.000000;0.961780;1.000000;50374400.000000;50374404.000000
96;4.407234;2.292808;2.203617;1.922200;2.000000;0.961100;1.000000;50137180.000000;50137180.000000
97;4.450923;2.314733;2.225461;1.922867;2.000000;0.961433;1.000000;49901248.000000;49901248.000000
98;4.493731;2.336277;2.246865;1.923458;2.000000;0.961729;1.000000;49666280.000000;49666280.000000
99;4.536495;2.358850;2.268247;1.923181;2.000000;0.961590;1.000000;49432832.000000;49432836.000000
100;4.578875;2.380221;2.289437;1.923718;2.000000;0.961859;1.000000;49200940.000000;49200940.000000
101;4.621573;2.401745;2.310787;1.924257;2.000000;0.962128;1.000000;48969828.000000;48969828.000000
102;4.663472;2.423221;2.331736;1.924493;2.000000;0.962246;1.000000;48740224.000000;48740224.000000
103;4.706333;2.445102;2.353166;1.924800;2.000000;0.962400;1.000000;48511160.000000;48511160.000000
104;4.749396;2.466304;2.374698;1.925714;2.000000;0.962857;1.000000;48283888.000000;48283888.000000
105;4.792183;2.488077;2.396091;1.926059;2.000000;0.963029;1.000000;48058136.000000;48058136.000000
106;4.834618;2.509012;2.417309;1.926901;2.000000;0.963451;1.000000;47833192.000000;47833192.000000
107;4.876983;2.530303;2.438492;1.927430;2.000000;0.963715;1.000000;47609592.000000;47609584.000000
108;4.918789;2.551687;2.459395;1.927662;2.000000;0.963831;1.000000;47386708.000000;47386720.000000
109;4.960192;2.573463;2.480096;1.927439;2.000000;0.963719;1.000000;47165708.000000;47165712.000000
110;5.001345;2.594718;2.500673;1.927510;2.000000;0.963755;1.000000;46945492.000000;46945496.000000
111;5.042470;2.616016;2.521235;1.927538;2.000000;0.963769;1.000000;46726872.000000;46726872.000000
112;5.084368;2.637104;2.542184;1.928012;2.000000;0.964006;1.000000;46509052.000000;46509044.000000
113;5.129891;2.660282;2.564946;1.928326;2.000000;0.964163;1.000000;46292004.000000;46292008.000000
114;5.171576;2.682793;2.585788;1.927684;2.000000;0.963842;1.000000;46076848.000000;46076848.000000
115;5.212640;2.705148;2.606320;1.926933;2.000000;0.963467;1.000000;45862776.000000;45862776.000000
116;5.254279;2.726207;2.627140;1.927322;2.000000;0.963661;1.000000;45648984.000000;45648988.000000
117;5.296347;2.746713;2.648174;1.928249;2.000000;0.964125;1.000000;45437068.000000;45437068.000000
118;5.340394;2.767285;2.670197;1.929831;2.000000;0.964916;1.000000;45226236.000000;45226232.000000
119;5.381973;2.787811;2.690987;1.930537;2.000000;0.965269;1.000000;45016260.000000;45016256.000000
120;5.423326;2.809195;2.711663;1.930563;2.000000;0.965281;1.000000;44808100.000000;44808100.000000
121;5.464870;2.830712;2.732435;1.930563;2.000000;0.965282;1.000000;44600292.000000;44600292.000000
122;5.506408;2.852183;2.753204;1.930594;2.000000;0.965297;1.000000;44393620.000000;44393616.000000
123;5.547469;2.873601;2.773734;1.930494;2.000000;0.965247;1.000000;44188568.000000;44188568.000000
124;5.588764;2.897690;2.794382;1.928696;2.000000;0.964348;1.000000;43984076.000000;43984080.000000
125;5.630722;2.920840;2.815361;1.927775;2.000000;0.963887;1.000000;43780952.000000;43780956.000000
126;5.672760;2.942153;2.836380;1.928099;2.000000;0.964049;1.000000;43578500.000000;43578504.000000
127;5.715520;2.963295;2.857760;1.928772;2.000000;0.964386;1.000000;43377636.000000;43377632.000000
128;5.758565;2.984362;2.879283;1.929580;2.000000;0.964790;1.000000;43177640.000000;43177648.000000
129;5.801225;3.005352;2.900613;1.930298;2.000000;0.965149;1.000000;42978544.000000;42978548.000000
130;5.842924;3.026232;2.921462;1.930759;2.000000;0.965379;1.000000;42780560.000000;42780568.000000
131;5.884035;3.047910;2.942018;1.930514;2.000000;0.965257;1.000000;42584016.000000;42584012.000000
132;5.925692;3.069569;2.962846;1.930464;2.000000;0.965232;1.000000;42388320.000000;42388320.000000
133;5.967959;3.091400;2.983979;1.930503;2.000000;0.965252;1.000000;42193024.000000;42193020.000000
134;6.009857;3.112606;3.004928;1.930812;2.000000;0.965406;1.000000;41999336.000000;41999336.000000
135;6.052181;3.134339;3.026091;1.930928;2.000000;0.965464;1.000000;41806824.000000;41806828.000000
136;6.094101;3.156402;3.047051;1.930712;2.000000;0.965356;1.000000;41615224.000000;41615232.000000
137;6.137092;3.177916;3.068546;1.931169;2.000000;0.965584;1.000000;41424024.000000;41424024.000000
138;6.180880;3.199086;3.090440;1.932077;2.000000;0.966038;1.000000;41234440.000000;41234444.000000
139;6.224072;3.220038;3.112036;1.932919;2.000000;0.966459;1.000000;41045840.000000;41045848.000000
140;6.267275;3.241343;3.133637;1.933543;2.000000;0.966771;1.000000;40857812.000000;40857828.000000
141;6.311041;3.262560;3.155520;1.934383;2.000000;0.967191;1.000000;40671284.000000;40671288.000000
142;6.353583;3.283430;3.176792;1.935044;2.000000;0.967522;1.000000;40485680.000000;40485672.000000
143;6.395681;3.306357;3.197840;1.934359;2.000000;0.967179;1.000000;40300444.000000;40300448.000000
144;6.438200;3.328614;3.219100;1.934199;2.000000;0.967099;1.000000;40116904.000000;40116900.000000
145;6.480557;3.350826;3.240278;1.934018;2.000000;0.967009;1.000000;39933808.000000;39933796.000000
146;6.522733;3.372814;3.261366;1.933914;2.000000;0.966957;1.000000;39751868.000000;39751868.000000
147;6.565408;3.395147;3.282704;1.933762;2.000000;0.966881;1.000000;39571096.000000;39571100.000000
148;6.608780;3.417880;3.304390;1.933590;2.000000;0.966795;1.000000;39391052.000000;39391040.000000
149;6.652981;3.440067;3.326490;1.933969;2.000000;0.966984;1.000000;39211924.000000;39211928.000000
